"Date","EventId","Source","Level","Summary","Message"
"9/23/2025 10:27:45 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777224."
"9/23/2025 11:09:54 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 479 to 480.","The system session has transitioned from 479 to 480.

Reason SessionUnlock 

BootId: 22"
"9/23/2025 11:15:00 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Input Mouse."
"9/23/2025 11:15:00 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 480 to 481.","The system session has transitioned from 480 to 481.

Reason InputHid 

BootId: 22"
"9/23/2025 1:14:12 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 481 to 482.","The system session has transitioned from 481 to 482.

Reason SessionUnlock 

BootId: 22"
"9/23/2025 1:14:12 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Idle Timeout."
"9/23/2025 1:14:40 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 482 to 483.","The system session has transitioned from 482 to 483.

Reason SessionUnlock 

BootId: 22"
"9/23/2025 1:20:40 PM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Input Mouse."
"9/23/2025 1:20:40 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 483 to 484.","The system session has transitioned from 483 to 484.

Reason InputHid 

BootId: 22"
"9/23/2025 4:30:59 PM","105","Microsoft-Windows-Kernel-Power","Information","Power source change.","Power source change."
"9/23/2025 4:31:01 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 484 to 485.","The system session has transitioned from 484 to 485.

Reason PolicyChange 

BootId: 22"
"9/23/2025 4:31:01 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Lid."
"9/23/2025 4:31:13 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 485 to 486.","The system session has transitioned from 485 to 486.

Reason PolicyChange 

BootId: 22"
"9/23/2025 4:39:08 PM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Austerity Battery Drain Budget Exceeded."
"9/23/2025 4:39:08 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 486 to 487.","The system session has transitioned from 486 to 487.

Reason 55 

BootId: 22"
"9/23/2025 4:39:08 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Austerity Battery Drain Budget Exceeded."
